3500B98806111803D1DF2448,16405963848,32.685289,-91.324881,9/15/2017,17:02:49,3,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,2:02:49,6975,1,11.1,238,0,32.685252,-91.32589,1,6975,9/16/2017,                                                
3500B98806111703D1DF2447,16405963847,32.686808,-91.324777,9/15/2017,19:05:46,2,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,4:05:44,12451,2,10.1,226,2208,32.686921,-91.32096,2,5476,9/16/2017,                                                
3500B98806111603D1DF2446,16405963846,32.686889,-91.325602,9/15/2017,19:21:41,2,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,4:21:40,18867,3,9.5,238,2545,32.687025,-91.32097,3,6416,9/16/2017,                                                
3500B98806111503D1DF2445,16405963845,32.6871,-91.327341,9/15/2017,19:29:39,2,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,4:29:36,24867,4,9.9,237,2542,32.68734,-91.320969,4,6000,9/16/2017,                                                
3500B98806111403D1DF2444,16405963844,32.687585,-91.325131,9/15/2017,19:56:15,3,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,4:56:13,30584,5,10,236,2572,32.687526,-91.327111,5,5717,9/16/2017,                                                
3500B98806111303D1DF2443,16405963843,32.687817,-91.324358,9/15/2017,20:05:03,2,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,5:05:03,36968,6,9.9,239,2521,32.687748,-91.326743,6,6384,9/16/2017,                                                
3500B98806111203D1DF2442,16405963842,32.687993,-91.325492,9/15/2017,20:14:08,3,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,5:14:07,43717,7,9.9,239,2529,32.68821,-91.321696,7,6749,9/16/2017,                                                
3500B98806111103D1DF2441,16405963841,32.688324,-91.324888,9/15/2017,20:22:44,3,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,5:22:43,49878,8,10.2,237,2472,32.688391,-91.322565,8,6161,9/16/2017,                                                
3500B98806111003D1DF2440,16405963840,32.688393,-91.322477,9/15/2017,20:33:10,3,Herrington,Bell,1,312,1N0C690PKH4065095       , ,                        ,                        ,5:33:09,54825,9,10.4,214,0,32.688385,-91.322427,9,4947,9/16/2017,                                                
3500B98806110F03D1DF243F,16405963839,32.72877,-91.317891,9/15/2017,21:21:13,3,Herrington,Bell,2,312,1N0C690PKH4065095       , ,                        ,                        ,6:21:12,12638,10,0,237,2676,32.728791,-91.316499,1,12638,9/16/2017,                                                
3500B98806110E03D1DF243E,16405963838,32.728222,-91.319449,9/15/2017,21:34:26,3,Herrington,Bell,2,312,1N0C690PKH4065095       , ,                        ,                        ,6:34:24,21658,11,0,237,2620,32.728195,-91.321247,2,9020,9/16/2017,                                                
3500B98806110D03D1DF243D,16405963837,32.727842,-91.316899,9/15/2017,21:48:58,3,Herrington,Bell,2,312,1N0C690PKH4065095       , ,                        ,                        ,6:48:56,31485,12,0,239,0,32.727823,-91.318119,3,9827,9/16/2017,                                                
